visualization_filename, serialization
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_12_noise_10.svg', "->( 'Enter submission date request', +( 'Produce procedure confirmation', X( tau, 'Register senddate acknowledgement' ), 'Refer to the competent authority', 'Commence WABOprocedure', 'Ordinary procedure without MER', 'Step application received', 'OLO messages active', *( 'Transmit confirmation receipt', ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ), ->( 'Update BAG administrator', 'Broadcast' ) ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_12_noise_20.svg', "->( 'Enter submission date request', +( 'Produce procedure confirmation', 'Refer to the competent authority', 'Commence WABOprocedure', 'Ordinary procedure without MER', 'OLO messages active', ->( X( tau, ->( 'Update BAG administrator', 'Broadcast' ) ), +( X( tau, 'Register senddate acknowledgement' ), 'Step application received', *( 'Transmit confirmation receipt', ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ) ) ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_12_noise_30.svg', "->( 'Enter submission date request', 'OLO messages active', +( 'Produce procedure confirmation', X( tau, 'Register senddate acknowledgement' ), 'Refer to the competent authority', 'Commence WABOprocedure', 'Ordinary procedure without MER', 'Step application received', *( *( 'Transmit confirmation receipt', tau ), ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_12_noise_40.svg', "->( 'Enter submission date request', 'OLO messages active', +( 'Produce procedure confirmation', 'Refer to the competent authority', 'Commence WABOprocedure', 'Ordinary procedure without MER', 'Step application received', *( *( 'Transmit confirmation receipt', tau ), ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges' ) ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_12_noise_70.svg', "->( 'Enter submission date request', 'OLO messages active', X( tau, 'Step application received' ), +( 'Produce procedure confirmation', 'Refer to the competent authority', 'Commence WABOprocedure', 'Ordinary procedure without MER', *( *( 'Transmit confirmation receipt', tau ), ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges' ) ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_12_noise_90.svg', "->( 'Enter submission date request', 'OLO messages active', 'Step application received', +( 'Produce procedure confirmation', 'Refer to the competent authority', 'Commence WABOprocedure', 'Ordinary procedure without MER', *( *( 'Transmit confirmation receipt', tau ), ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges' ) ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_10.svg', "->( 'Enter submission date request', +( X( tau, 'Register senddate acknowledgement' ), 'Step application received', 'OLO messages active', ->( +( *( 'Transmit confirmation receipt', tau ), ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ) ) ), X( ->( 'Log date termination request documented', 'Log termination request senddate', 'Terminate request notice' ), ->( X( tau, 'Evaluate provisional charges' ), +( 'Ordinary procedure without MER', ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'Refer to the competent authority', X( tau, 'Update BAG administrator' ) ) ), +( 'Commence WABOprocedure', X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', 'Register publication date' ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Inspect field for phased application' ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_20.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ), +( 'Ordinary procedure without MER', ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'Refer to the competent authority' ) ), X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, ->( 'Form publication document', X( tau, 'Register publication date' ) ) ) ) ) ) ), 'Commence WABOprocedure' ) ), X( tau, ->( X( tau, 'Inspect field for phased application' ), 'Register senddate acknowledgement' ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_30.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges' ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, 'Form publication document' ) ) ), 'Commence WABOprocedure' ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_40.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges' ) ), 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', 'Form publication document' ) ), 'Commence WABOprocedure' ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_50.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges', 'Refer to the competent authority', 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', 'Form publication document' ) ), 'Commence WABOprocedure' ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_60.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges', 'Refer to the competent authority', 'Ordinary procedure without MER', +( X( tau, 'Produce procedure confirmation' ), 'Commence WABOprocedure' ) ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_70.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges', 'Refer to the competent authority', 'Ordinary procedure without MER', +( 'Produce procedure confirmation', 'Commence WABOprocedure' ) ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_80.svg', "->( 'Enter submission date request', X( tau, ->( X( tau, ->( 'Broadcast', 'Form publication document' ), ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'OLO messages active', 'Register publication date', 'Step application received', 'Log date termination request documented', 'Log termination request senddate', 'Terminate request notice', +( *( 'Transmit confirmation receipt', tau ), ->( 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges', 'Refer to the competent authority', 'Ordinary procedure without MER', +( 'Produce procedure confirmation', 'Commence WABOprocedure' ) ) ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_13_noise_90.svg', "->( 'Enter submission date request', X( tau, ->( X( ->( 'Broadcast', 'Form publication document' ), ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'OLO messages active', 'Register publication date', 'Step application received', 'Log date termination request documented', 'Log termination request senddate', 'Terminate request notice', 'Applicant plays stakeholder role', 'Stop on request', 'Evaluate provisional charges', 'Refer to the competent authority', 'Ordinary procedure without MER', +( 'Produce procedure confirmation', 'Commence WABOprocedure' ), *( 'Transmit confirmation receipt', tau ) ) ), X( tau, ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_14_noise_10.svg', "->( 'Enter submission date request', +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ) ) ), X( ->( 'Log date termination request documented', 'Log termination request senddate', 'Terminate request notice' ), ->( X( tau, 'Evaluate provisional charges' ), +( 'Ordinary procedure without MER', ->( X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), 'Refer to the competent authority', X( tau, 'Update BAG administrator' ) ) ), X( tau, ->( 'Produce procedure confirmation', X( tau, ->( 'Broadcast', X( tau, 'Form publication document' ) ) ) ) ), +( X( tau, 'Register publication date' ), 'Commence WABOprocedure' ) ) ) ) ), X( tau, ->( X( tau, 'Inspect field for phased application' ), 'Register senddate acknowledgement' ) ), X( tau, 'Permit not needed or only notification required', ->( 'Action by competent authority', 'Create termination request message', 'Premature termination of procedure phase' ), ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
('BPIC15_5_rev/process_tree_case_size_betwee_12_and_14_noise_20.svg', "->( 'Enter submission date request', X( tau, ->( 'Mandatory Environmental Report required', 'Regular procedural activities', 'Phased application' ) ), +( *( 'Transmit confirmation receipt', tau ), 'Step application received', 'OLO messages active', ->( X( tau, ->( 'Applicant plays stakeholder role', X( tau, 'Stop on request' ), 'Evaluate provisional charges' ) ), 'Refer to the competent authority', X( tau, 'Update BAG administrator' ), 'Ordinary procedure without MER', 'Produce procedure confirmation', X( tau, ->( 'Broadcast', 'Form publication document', X( tau, 'Register publication date' ) ) ), 'Commence WABOprocedure' ) ), X( tau, 'Inspect field for phased application' ), X( tau, 'Register senddate acknowledgement' ), X( tau, 'Permit not needed or only notification required', ->( 'Action by competent authority', 'Create termination request message', 'Premature termination of procedure phase' ), ->( 'Phase procedure cancelled', 'Register the deadline', 'Conclude the case' ) ) )")
