visualization_filename, serialization
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_40.svg', "->( 'Log submission date request', X( tau, 'Log date termination request received' ), 'OLO communication active', +( 'Stage application received', *( ->( +( *( 'Dispatch confirmation receipt', tau ), X( ->( +( X( tau, 'Applicant is a stakeholder' ), 'End on request' ), X( tau, 'Compute provisional charges' ) ), ->( 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ) ), X( tau, 'Record senddate acknowledgement' ), X( tau, 'Begin WABOprocedure' ) ), tau ) ), X( tau, ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_50.svg', "->( 'Log submission date request', X( tau, 'Log date termination request received' ), 'OLO communication active', +( 'Stage application received', *( ->( X( tau, ->( +( 'Applicant is a stakeholder', 'End on request' ), X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Record senddate acknowledgement' ), 'Dispatch confirmation receipt', 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', X( tau, 'Begin WABOprocedure' ) ), tau ) ), X( tau, ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_60.svg', "->( 'Log submission date request', X( tau, 'Log date termination request received' ), 'OLO communication active', +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ), *( ->( X( tau, 'Stage application received' ), X( 'Record senddate acknowledgement', ->( 'Dispatch confirmation receipt', 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ), X( tau, 'Begin WABOprocedure' ) ), tau ), X( tau, ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_70.svg', "->( 'Log submission date request', X( tau, 'Log date termination request received' ), 'OLO communication active', +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ), *( 'Dispatch confirmation receipt', tau ), 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure', 'Stage application received', 'Record senddate acknowledgement', X( tau, ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_90.svg', "->( 'Log submission date request', 'Log date termination request received', 'OLO communication active', +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ), *( 'Dispatch confirmation receipt', tau ), 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure', 'Stage application received', 'Record senddate acknowledgement', 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_10.svg', "->( 'Log submission date request', +( 'Stage application received', 'Record senddate acknowledgement', ->( X( tau, 'OLO communication active' ), +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( +( 'End on request', X( tau, +( 'Applicant is a stakeholder', X( tau, 'No permit required or only notification needed' ) ) ) ), X( tau, 'Compute provisional charges' ) ) ), 'Send to the competent authority', X( tau, ->( X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', X( tau, ->( 'Generate procedure confirmation', 'Release' ) ), 'Begin WABOprocedure' ) ) ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_20.svg', "->( 'Log submission date request', X( tau, ->( 'OLO communication active', X( tau, 'Submit application via OLO' ) ) ), +( 'Stage application received', *( ->( +( *( 'Dispatch confirmation receipt', tau ), X( tau, ->( X( tau, +( 'Applicant is a stakeholder', 'End on request', X( tau, 'No permit required or only notification needed' ) ) ), 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ) ), X( tau, 'Compute provisional charges' ), X( tau, 'Record senddate acknowledgement' ), X( tau, 'Begin WABOprocedure' ) ), tau ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_30.svg', "->( 'Log submission date request', 'OLO communication active', X( tau, 'Submit application via OLO' ), +( 'Stage application received', ->( X( tau, +( 'Applicant is a stakeholder', 'End on request' ) ), X( tau, 'Compute provisional charges', 'No permit required or only notification needed' ), *( ->( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( +( *( 'Dispatch confirmation receipt', tau ), X( tau, ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ) ), X( tau, 'Begin WABOprocedure' ) ) ) ), tau ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_40.svg', "->( 'Log submission date request', 'OLO communication active', X( tau, 'Submit application via OLO', ->( +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ) ) ), *( ->( *( 'Dispatch confirmation receipt', tau ), X( tau, 'Record senddate acknowledgement' ), X( tau, ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ), X( tau, 'Stage application received' ), X( tau, 'Begin WABOprocedure' ) ), tau ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_50.svg', "->( 'Log submission date request', 'OLO communication active', X( tau, 'Submit application via OLO', ->( +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ) ) ), *( ->( 'Dispatch confirmation receipt', 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', X( tau, 'Stage application received' ), X( tau, 'Begin WABOprocedure' ) ), tau ), 'Record senddate acknowledgement', X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_60.svg', "->( 'Log submission date request', 'OLO communication active', X( 'Submit application via OLO', ->( +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ) ) ), *( ->( 'Dispatch confirmation receipt', 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', X( tau, 'Stage application received' ), X( tau, 'Begin WABOprocedure' ) ), tau ), 'Record senddate acknowledgement', X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_70.svg', "->( 'Log submission date request', 'OLO communication active', X( 'Submit application via OLO', ->( +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ) ) ), *( ->( 'Dispatch confirmation receipt', 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Stage application received', X( tau, 'Begin WABOprocedure' ) ), tau ), 'Record senddate acknowledgement', X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_80.svg', "->( 'Log submission date request', X( tau, ->( 'OLO communication active', X( tau, 'Submit application via OLO' ), +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ), *( ->( 'Dispatch confirmation receipt', 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Stage application received', 'Begin WABOprocedure' ), tau ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_10_and_12_noise_90.svg', "->( 'Log submission date request', X( tau, ->( 'OLO communication active', X( tau, 'Submit application via OLO' ), +( 'Applicant is a stakeholder', 'End on request' ), X( 'Compute provisional charges', 'No permit required or only notification needed' ), *( ->( 'Dispatch confirmation receipt', 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Stage application received', 'Begin WABOprocedure' ), tau ) ) ), X( ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_10.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', 'OLO communication active', ->( X( tau, 'Submit application via OLO' ), +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, 'Applicant is a stakeholder' ), +( 'Record senddate acknowledgement', ->( X( tau, 'End on request' ), 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', X( tau, ->( 'Generate procedure confirmation', 'Release' ) ), 'Begin WABOprocedure' ) ) ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_20.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', X( tau, 'Submit application via OLO' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( X( tau, 'Applicant is a stakeholder' ), X( tau, 'End on request' ), +( 'Record senddate acknowledgement', ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_30.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', X( tau, ->( 'Applicant is a stakeholder', 'End on request' ), 'Submit application via OLO' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ), X( tau, 'Record senddate acknowledgement' ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_40.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', X( tau, ->( 'Applicant is a stakeholder', 'End on request' ), 'Submit application via OLO' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ), 'Record senddate acknowledgement', X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_60.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', X( tau, ->( 'Applicant is a stakeholder', 'End on request' ), 'Submit application via OLO' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ), 'Record senddate acknowledgement', X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_70.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), X( tau, ->( 'OLO communication active', X( tau, 'Submit application via OLO' ), X( tau, ->( 'Applicant is a stakeholder', 'End on request' ) ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_80.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), X( tau, ->( 'OLO communication active', X( tau, 'Submit application via OLO' ), X( tau, ->( 'Applicant is a stakeholder', 'End on request' ) ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_11_and_12_noise_90.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), X( tau, ->( 'OLO communication active', 'Submit application via OLO', X( tau, ->( 'Applicant is a stakeholder', 'End on request' ) ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ) ) ), X( ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_12_noise_10.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( X( tau, 'Applicant is a stakeholder' ), +( X( tau, 'OLO communication active' ), ->( X( tau, 'Submit application via OLO' ), +( X( tau, 'Record senddate acknowledgement' ), ->( X( tau, 'End on request' ), X( tau, ->( 'Send to the competent authority', X( tau, ->( X( tau, 'Notify BAG administrator' ), 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_12_noise_20.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), +( 'Stage application received', 'Record senddate acknowledgement', ->( 'OLO communication active', +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, 'End on request' ), 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ) ) ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_12_noise_30.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', X( tau, 'Submit application via OLO' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ), X( tau, 'Record senddate acknowledgement' ), X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_12_noise_50.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', X( tau, 'Submit application via OLO' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ), 'Record senddate acknowledgement', X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_12_noise_70.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', X( tau, 'Submit application via OLO' ), +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ), 'Record senddate acknowledgement', X( tau, ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_12_noise_80.svg', "->( 'Log submission date request', X( tau, 'No permit required or only notification needed' ), 'OLO communication active', 'Submit application via OLO', +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ), 'Record senddate acknowledgement', X( ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_12_and_12_noise_90.svg', "->( 'Log submission date request', 'No permit required or only notification needed', 'OLO communication active', 'Submit application via OLO', +( 'Stage application received', *( 'Dispatch confirmation receipt', tau ), ->( 'Send to the competent authority', 'Notify BAG administrator', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release' ) ), 'Record senddate acknowledgement', X( ->( 'send confirmation to competent authority', 'message change competent authority', 'submit request towards the competent authority', 'log the senddate for letter to the authority' ), ->( 'Log date termination request received', 'Record senddate termination request', 'Terminate request message', 'Log deadline', 'Phase procedure cancelled', 'Close the case' ) ) )")
