visualization_filename, serialization
('BPIC15_4_rev/process_tree_case_size_betwee_8_and_11_noise_80.svg', "->( 'Input submission date request', 'OLO messaging live', +( 'Phase of application received', ->( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder', +( 'Cease on request', 'Terminate request notification', 'Enter date termination request received' ), 'Transfer to the competent authority', 'Alert BAG administrator', 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure', 'case closure' ) ), X( 'Phase procedure ended prematurely', ->( +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'draft letter indicating no permit required', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_10.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', 'Applicant considered stakeholder', ->( *( 'Provide confirmation receipt', tau ), X( tau, ->( X( tau, 'Cease on request' ), 'Transfer to the competent authority', X( tau, 'Alert BAG administrator' ) ) ) ) ), X( ->( 'Routine procedure without MER', X( tau, 'Initiate WABOprocedure' ), +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), X( tau, 'Document date publication' ) ), ->( +( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'Register due date', 'log senddate letter no permit or notification needed' ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_20.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', 'Applicant considered stakeholder', ->( *( 'Provide confirmation receipt', tau ), X( tau, 'Cease on request' ), 'Transfer to the competent authority', 'Alert BAG administrator' ) ), X( ->( 'Routine procedure without MER', X( tau, 'Initiate WABOprocedure' ), +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), X( tau, 'Document date publication' ) ), ->( +( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'Register due date', 'log senddate letter no permit or notification needed' ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_30.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', 'Applicant considered stakeholder', ->( *( 'Provide confirmation receipt', tau ), 'Transfer to the competent authority', 'Alert BAG administrator' ) ), X( ->( 'Routine procedure without MER', X( tau, 'Initiate WABOprocedure' ), +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), X( tau, 'Document date publication' ) ), ->( +( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'Register due date', 'log senddate letter no permit or notification needed' ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_40.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', 'Applicant considered stakeholder', ->( *( 'Provide confirmation receipt', tau ), 'Transfer to the competent authority', 'Alert BAG administrator' ) ), X( ->( 'Routine procedure without MER', X( tau, 'Initiate WABOprocedure' ), +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( +( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'Register due date', 'log senddate letter no permit or notification needed' ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_50.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', 'Applicant considered stakeholder', ->( *( 'Provide confirmation receipt', tau ), 'Transfer to the competent authority', 'Alert BAG administrator' ) ), X( ->( 'Routine procedure without MER', X( tau, 'Initiate WABOprocedure' ), +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_70.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder' ), X( tau, 'Cease on request' ), 'Transfer to the competent authority', 'Alert BAG administrator', 'Phase of application received', X( ->( 'Routine procedure without MER', 'Initiate WABOprocedure', +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_80.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder' ), 'Cease on request', 'Transfer to the competent authority', 'Alert BAG administrator', 'Phase of application received', X( ->( 'Routine procedure without MER', 'Initiate WABOprocedure', +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_10_and_12_noise_90.svg', "->( 'Input submission date request', 'OLO messaging live', +( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder' ), 'Cease on request', 'Transfer to the competent authority', 'Alert BAG administrator', 'Phase of application received', X( ->( 'Routine procedure without MER', 'Initiate WABOprocedure', +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_11_and_12_noise_10.svg', "->( 'Input submission date request', +( 'Phase of application received', 'Applicant considered stakeholder', ->( *( 'Provide confirmation receipt', tau ), X( tau, ->( X( tau, 'Cease on request' ), 'Transfer to the competent authority', 'Alert BAG administrator' ) ) ) ), X( ->( 'Routine procedure without MER', 'Transmit procedure confirmation', 'Input senddate procedure confirmation', 'Document date publication' ), ->( +( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'Register due date', 'log senddate letter no permit or notification needed' ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_11_and_12_noise_30.svg', "->( 'Input submission date request', +( 'Phase of application received', 'Applicant considered stakeholder', ->( *( 'Provide confirmation receipt', tau ), X( tau, 'Cease on request' ), 'Transfer to the competent authority', 'Alert BAG administrator' ) ), X( ->( 'Routine procedure without MER', 'Transmit procedure confirmation', 'Input senddate procedure confirmation', 'Document date publication' ), ->( +( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'Register due date', 'log senddate letter no permit or notification needed' ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_11_and_12_noise_50.svg', "->( 'Input submission date request', 'Phase of application received', +( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder' ), X( tau, 'Cease on request' ), 'Transfer to the competent authority', 'Alert BAG administrator', X( ->( 'Routine procedure without MER', 'Transmit procedure confirmation', 'Input senddate procedure confirmation', 'Document date publication' ), ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_11_and_12_noise_80.svg', "->( 'Input submission date request', 'Phase of application received', +( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder' ), 'Cease on request', 'Transfer to the competent authority', 'Alert BAG administrator', X( ->( 'Routine procedure without MER', 'Transmit procedure confirmation', 'Input senddate procedure confirmation', 'Document date publication' ), ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_12_noise_10.svg', "->( 'Input submission date request', +( 'Phase of application received', 'Alert BAG administrator', 'Applicant considered stakeholder', ->( 'Provide confirmation receipt', 'Transfer to the competent authority' ) ), 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date', 'Phase procedure aborted', 'Conclude case' )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_10.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( X( tau, 'OLO messaging live' ), 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), *( ->( X( tau, ->( X( tau, ->( 'Transfer to the competent authority', X( tau, 'Routine procedure without MER' ) ) ), X( tau, 'Draft procedure confirmation' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ) ) ), X( tau, 'Transmit procedure confirmation' ), X( tau, 'Initiate WABOprocedure' ) ), tau ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_20.svg', "->( X( tau, 'Input submission date request' ), 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_30.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_40.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_50.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( 'Phase of application received', 'Initiate WABOprocedure', 'Transmit procedure confirmation' ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_80.svg', "->( X( tau, ->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', 'Applicant considered stakeholder', 'Assess provisional charges', 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), 'Transmit procedure confirmation', X( tau, 'Inspect field phased application' ), 'Initiate WABOprocedure', X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_14_noise_10.svg', "->( +( 'Phase of application received', 'Input submission date request', ->( 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ), ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), *( ->( X( tau, ->( X( tau, ->( 'Transfer to the competent authority', X( tau, 'Routine procedure without MER' ) ) ), X( tau, 'Draft procedure confirmation' ), X( tau, ->( X( tau, 'Distribute' ), 'Form subcases completeness', 'Amend procedure' ) ) ) ), X( tau, 'Transmit procedure confirmation' ), X( tau, 'Initiate WABOprocedure' ) ), tau ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed' ), ->( 'Cease on request', X( tau, ->( 'Enter date termination request received', +( 'Enter senddate termination request', 'Terminate request notification' ) ) ) ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), X( tau, ->( +( X( tau, 'Register due date' ), 'Phase procedure aborted' ), X( tau, 'Conclude case' ) ) ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_14_noise_20.svg', "->( 'Input submission date request', 'OLO messaging live', +( 'Phase of application received', ->( 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, +( X( tau, 'Draft procedure confirmation' ), 'Routine procedure without MER' ) ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), X( tau, +( X( tau, 'Initiate WABOprocedure' ), 'Transmit procedure confirmation' ) ), X( tau, 'Alert BAG administrator' ) ) ), X( 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed' ), ->( 'Cease on request', X( tau, ->( 'Enter date termination request received', +( 'Enter senddate termination request', 'Terminate request notification' ) ) ) ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), X( tau, ->( +( X( tau, 'Register due date' ), 'Phase procedure aborted' ), 'Conclude case' ) ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_14_noise_30.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, 'Environmental Report required' ), X( tau, ->( X( tau, 'MER listed' ), 'Routine procedure activities', X( tau, 'Phased application' ) ) ), 'Routine procedure without MER', X( tau, 'Inspect field phased application' ), 'Draft procedure confirmation', X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), X( tau, 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed' ), ->( 'Cease on request', X( tau, ->( 'Enter date termination request received', +( 'Enter senddate termination request', 'Terminate request notification' ) ) ) ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), +( X( tau, 'Register due date' ), 'Phase procedure aborted' ), 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_14_noise_40.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, 'Environmental Report required' ), X( tau, ->( X( tau, 'MER listed' ), 'Routine procedure activities', X( tau, 'Phased application' ) ) ), 'Routine procedure without MER', X( tau, 'Inspect field phased application' ), 'Draft procedure confirmation', 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed' ), ->( 'Cease on request', 'Enter date termination request received', +( 'Enter senddate termination request', 'Terminate request notification' ) ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), +( 'Register due date', 'Phase procedure aborted' ), 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_14_noise_50.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, 'Environmental Report required' ), X( tau, ->( 'MER listed', 'Routine procedure activities', 'Phased application' ) ), 'Routine procedure without MER', X( tau, 'Inspect field phased application' ), 'Draft procedure confirmation', 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Alert BAG administrator' ), +( 'Phase of application received', 'Initiate WABOprocedure', X( tau, 'Transmit procedure confirmation' ) ), X( 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed' ), ->( 'Cease on request', 'Enter date termination request received', +( 'Enter senddate termination request', 'Terminate request notification' ) ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), +( 'Register due date', 'Phase procedure aborted' ), 'Conclude case' ) ) )")
